zone_id,area_category,max_capacity,fixed_seating,bottleneck_prone,queue_prone,zone_priority
ZONE_00001,4,2722,1,0,0,5
ZONE_00002,6,2305,0,0,1,3
ZONE_00003,3,1537,0,0,0,4
ZONE_00004,1,1551,0,1,1,5
ZONE_00005,5,2069,0,0,1,1
ZONE_00006,5,1437,1,0,0,4
ZONE_00007,0,660,0,1,1,1
ZONE_00008,4,2453,1,0,1,4
ZONE_00009,3,508,0,0,1,2
ZONE_00010,1,2425,0,1,1,4
ZONE_00011,7,644,1,1,1,4
ZONE_00012,4,2303,0,0,0,5
ZONE_00013,8,2007,1,1,0,3
ZONE_00014,4,606,0,1,0,4
ZONE_00015,4,1353,0,1,0,4
ZONE_00016,1,1964,0,0,0,5
ZONE_00017,6,1393,1,1,0,2
ZONE_00018,9,2860,1,1,1,3
ZONE_00019,7,1630,0,1,0,2
ZONE_00020,3,1184,1,0,1,5
ZONE_00021,3,2166,0,0,1,5
ZONE_00022,6,2339,1,0,0,4
ZONE_00023,1,2058,0,0,0,4
ZONE_00024,6,632,1,0,0,3
ZONE_00025,4,2750,0,1,0,4
ZONE_00026,6,2158,1,1,1,3
ZONE_00027,1,655,1,0,1,4
ZONE_00028,8,1617,0,1,0,3
ZONE_00029,7,1759,0,0,1,3
ZONE_00030,5,1114,0,1,0,4
ZONE_00031,9,1423,1,1,1,3
ZONE_00032,3,1782,1,0,1,2
ZONE_00033,7,1128,0,0,1,2
ZONE_00034,2,2213,0,1,1,2
ZONE_00035,1,620,0,1,1,3
ZONE_00036,0,2811,0,0,1,3
ZONE_00037,3,826,1,0,0,4
ZONE_00038,7,683,0,1,0,1
ZONE_00039,9,2229,1,0,1,5
ZONE_00040,0,2833,1,0,0,5
ZONE_00041,1,1447,1,1,0,5
ZONE_00042,5,2701,1,0,1,2
ZONE_00043,0,2268,1,1,1,2
ZONE_00044,8,1383,0,0,0,4
ZONE_00045,2,920,1,1,0,4
ZONE_00046,1,716,0,0,0,1
ZONE_00047,2,2705,1,1,1,1
ZONE_00048,3,1129,1,0,1,2
ZONE_00049,6,2596,1,0,1,1
ZONE_00050,2,1767,1,1,0,2
ZONE_00051,1,2144,0,0,0,1
ZONE_00052,5,1843,1,1,0,5
ZONE_00053,3,718,0,1,1,2
ZONE_00054,3,2795,1,1,0,3
ZONE_00055,9,1465,1,0,1,2
ZONE_00056,8,2309,1,1,1,1
ZONE_00057,4,2383,1,1,1,2
ZONE_00058,6,527,1,1,0,3
ZONE_00059,8,1330,1,0,0,3
ZONE_00060,1,2218,1,0,0,3
ZONE_00061,6,2122,1,0,1,5
ZONE_00062,2,540,1,0,1,1
ZONE_00063,9,833,0,1,0,5
ZONE_00064,7,2704,0,0,1,1
ZONE_00065,5,706,0,1,0,2
ZONE_00066,2,2730,1,0,0,1
ZONE_00067,8,2723,1,0,1,1
ZONE_00068,6,2653,1,1,0,5
ZONE_00069,0,1384,0,1,0,4
ZONE_00070,5,826,0,1,0,1
ZONE_00071,6,2520,0,0,1,5
ZONE_00072,8,1417,1,0,0,1
ZONE_00073,6,1218,0,1,1,4
ZONE_00074,2,2580,1,0,1,5
ZONE_00075,6,1927,1,0,0,3
ZONE_00076,2,1387,0,1,1,4
ZONE_00077,1,956,0,1,0,4
ZONE_00078,5,2364,0,0,1,3
ZONE_00079,4,825,0,1,0,2
ZONE_00080,1,1632,0,0,0,4
ZONE_00081,6,2519,1,1,1,4
ZONE_00082,6,1857,1,0,1,2
ZONE_00083,5,1822,0,1,0,4
ZONE_00084,6,1398,1,0,0,1
ZONE_00085,4,1430,0,1,1,4
ZONE_00086,0,1956,0,1,1,1
ZONE_00087,4,2692,0,1,0,1
ZONE_00088,3,1812,0,1,1,5
ZONE_00089,1,759,0,1,0,3
ZONE_00090,5,1147,0,0,1,3
ZONE_00091,2,516,0,1,0,2
ZONE_00092,9,2434,1,0,1,3
ZONE_00093,7,888,1,1,1,3
ZONE_00094,7,1559,0,1,0,2
ZONE_00095,0,1892,1,1,1,2
ZONE_00096,8,1235,0,1,1,1
ZONE_00097,6,2075,0,1,1,5
ZONE_00098,7,793,1,0,0,2
ZONE_00099,4,1135,0,0,0,3
ZONE_00100,0,1999,1,0,0,3
ZONE_00101,5,926,0,1,1,2
ZONE_00102,2,1906,1,1,1,1
ZONE_00103,1,1215,0,1,1,4
ZONE_00104,1,2528,1,0,1,4
ZONE_00105,4,2710,0,0,1,5
ZONE_00106,5,2154,0,0,0,1
ZONE_00107,9,721,0,1,1,1
ZONE_00108,0,2153,0,0,1,4
ZONE_00109,4,2023,0,0,0,4
ZONE_00110,7,564,0,1,1,5
ZONE_00111,2,1368,0,0,0,4
ZONE_00112,7,2414,1,0,0,1
ZONE_00113,9,2398,1,1,0,5
ZONE_00114,9,1791,1,1,1,5
ZONE_00115,7,2773,0,0,0,5
ZONE_00116,9,1252,0,1,1,2
ZONE_00117,9,516,1,0,0,1
ZONE_00118,0,2551,1,0,1,4
ZONE_00119,1,2743,0,0,1,2
ZONE_00120,3,854,1,1,1,5
ZONE_00121,9,908,0,0,0,4
ZONE_00122,2,2199,1,1,0,4
ZONE_00123,2,1417,1,1,1,4
ZONE_00124,6,2699,1,1,1,1
ZONE_00125,3,2107,1,1,1,5
ZONE_00126,7,816,0,0,1,4
ZONE_00127,4,2444,1,0,1,3
ZONE_00128,6,974,0,0,0,2
ZONE_00129,7,1925,1,1,1,2
ZONE_00130,3,1877,1,1,0,5
ZONE_00131,7,964,1,0,0,5
ZONE_00132,2,1174,1,0,1,5
ZONE_00133,7,2139,1,0,0,4
ZONE_00134,4,1658,0,0,0,2
ZONE_00135,8,1442,1,0,0,1
ZONE_00136,7,628,0,1,0,2
ZONE_00137,6,662,0,1,0,2
ZONE_00138,8,2017,1,1,0,5
ZONE_00139,7,886,1,1,1,1
ZONE_00140,6,983,0,1,1,3
ZONE_00141,6,754,1,1,0,3
